Document_Number,RFx_Type,High_Level_Category,Successful_Supplier,Awarded_Amount,Award_Date,Division,Small_Business
Doc3923013040,RFSQ,Construction Services,CBV COLLECTION SERVICES LTD,28531826.353631914,2024-01-12,"Social Development, Finance & Administration",FALSE
Doc3792180788,RFSQ,Construction Services,Continental Carbon Group Inc.,9869167.55605489,2022-03-02,Information & Technology,FALSE
Doc4006632375,RFSQ,Goods & Services,DAFCO FILTRATION GROUP CORPORATION,25240460.683824494,2024-02-03,Engineering & Construction Services - Engineering Services,FALSE
Doc4686211466,RFSQ,Goods & Services,Culture Check Inc.,33583524.035522714,2023-12-11,"Corporate Real Estate Management,Shelter, Support & Housing Administration",FALSE
Doc3937572365,RFSQ,Professional Services,Dependable Emergency Vehicles,41994053.704082035,2022-06-19,"Technology Services,Transportation Services",TRUE
Doc4218530551,RFSQ,Construction Services,Davey Tree Expert Co,43412649.79692642,2022-04-20,Engineering & Construction Services - Capital Works Delivery,FALSE
Doc3668065184,RFP,Offer to Purchase,Black & McDonald Ltd.,38343948.10744561,2023-03-21,Transportation Services,FALSE
Doc4092233201,RFQ,Goods & Services,GM BLUEPLAN ENGINEERING LIMITED,36490544.50704716,2022-11-16,"Corporate Real Estate Management,Municipal Licensing & Standards,Parks, Forestry & Recreation,Toronto Water,Transportation Services",TRUE
Doc4247073892,RFP,Goods & Services,A&F Di Carlo Construction Inc.,15515966.030070558,2022-04-20,Purchasing & Materials Management,FALSE
Doc3756696071,RFP,Goods & Services,AECOM Canada Ltd.,22098252.915078774,2022-01-09,City Manager's Office,TRUE
Doc4227642481,RFSQ,Goods and Services,COLIO ESTATE WINES INC,11094313.882407732,2023-12-25,"Shelter, Support & Housing Administration",FALSE
Doc3393128038,RFP,Professional Services,MULTIVIEW LOCATES INC,39870973.24884962,2024-04-24,Court Services,FALSE
Doc3869968460,RFSQ,Goods & Services,Safetek Emergency Vehicles Ltd.,10738740.758039057,2022-07-31,City Clerk's Office,FALSE
Doc3739766347,RFQ,Goods & Services,BIO NUCLEAR DIAGNOSTICS INC,19743078.331113793,2024-08-08,Office of the Chief Information SecurityÂ Officer (CISO),FALSE
Doc3781209681,RFQ,Goods & Services,KONGATS ARCHITECTS,41326681.08236976,2023-02-19,Engineering & Construction Services - Capital Works Delivery,FALSE
Doc4445229954,RFSQ,Offer to Purchase,UTILITY FORCE INC,39853601.57850664,2022-06-10,Engineering & Construction Services - Capital Works Delivery,FALSE
Doc3819431950,RFSQ,Goods & Services,Triumph Roofing & Sheet Metal Inc.,49653690.24593383,2023-02-15,Transportation Services,TRUE
Doc4572428154,RFQ,Offer to Purchase,IL Duca contracting Inc.,33302032.622043043,2023-03-02,Purchasing & Materials Management,FALSE
Doc4066811187,RFQ,Goods and Services,DRAKE INTERNATIONAL INC,17009825.008455664,2023-10-17,Facilities Management,FALSE
Doc3968966388,RFSQ,Goods and Services,Trans Canada Construction,48772882.0258053,2023-02-03,Revenue Services,TRUE
Doc4096217399,RFQ,Offer to Purchase,CDMV Inc.,21017816.981766373,2024-04-08,"Social Development, Finance & Administration",FALSE
Doc4014898448,RFQ,Goods and Services,WSP CANADA INC,17149737.70279903,2022-08-07,"City Planning,Technology Services",FALSE
Doc4235384096,RFP,Goods & Services,JOE PACE & SONS CONTRACTING INC,24675626.127864234,2022-07-25,People & Equity,FALSE
Doc3793973081,RFSQ,Construction Services,Canadian Hearing Services,26349104.190827347,2024-08-01,Toronto Water,TRUE
Doc3873905324,RFQ,Construction Services,1913574 Ontario Inc. oa Royal Oak Tree Services Inc.,2621127.512655221,2022-01-04,Fire Services,FALSE
Doc3915365177,RFSQ,Offer to Purchase,Combined Metal Industries Inc.,16726804.845849983,2023-02-17,Toronto Public Health,FALSE
Doc3704322859,RFSQ,Construction Services,SPERIDIAN TECHNOLOGIES CANADA INC,28282926.645246334,2022-12-22,Toronto Public Health,TRUE
Doc4408423701,RFP,Professional Services,TRH SERVICES (BRANDON BIOMED INC),20962308.49227868,2024-06-12,Finance & Treasury Services,FALSE
Doc3978905389,RFSQ,Goods and Services,Canada Construction Limited,30302512.645954266,2024-02-23,Facilities Management,TRUE
Doc4001403150,RFP,Offer to Purchase,DAMEN SHIPBUILDING 5 B.V.,27809573.465026915,2022-10-09,Toronto Water,TRUE
Doc4222047669,RFP,Offer to Purchase,Firechek Protection Services Inc.,40084132.29056168,2024-03-01,People & Equity,FALSE
Doc4430037985,RFSQ,Goods & Services,NET ZERO ENERGY INC.,15371237.980551086,2022-03-05,"Social Development, Finance & Administration",FALSE
Doc3982873048,RFQ,Goods & Services,NRB Modular Solutions,30314044.136204757,2023-04-24,Office of the Chief Information SecurityÂ Officer (CISO),TRUE
Doc4728197603,RFP,Offer to Purchase,Alliance Verdi Civil Inc,1244729.7592880204,2023-06-26,Corporate Real Estate Management,FALSE
Doc4532966165,RFQ,Goods and Services,Shutter Professionals Inc.,44483339.53821566,2023-09-30,Facilities Management,FALSE
Doc4097545206,RFP,Construction Services,O2 PLANNING + DESIGN,44561384.67916753,2022-04-22,Seniors Services and Long-Term Care,TRUE
Doc3816975592,RFP,Goods & Services,Grascan Construction Ltd,24709147.068555467,2022-02-21,Technology Services,FALSE
Doc4104126185,RFP,Goods & Services,Testmark Laboratories Ltd,8383016.091771424,2024-06-25,Employment & Social Services,TRUE
Doc3383644334,RFSQ,Goods and Services,Mid - Ontario Truck Center,31910599.085967988,2024-06-18,"Corporate Real Estate Management,Shelter, Support & Housing Administration",FALSE
Doc3952713027,RFQ,Goods and Services,Davroc Testing laboratories Inc.,10276975.287590176,2024-03-23,Municipal Licensing & Standards,TRUE
Doc4209172596,RFP,Goods and Services,Power King Exhaust Cleaning,12378098.908462562,2022-02-18,Engineering & Construction Services,TRUE
Doc3685082826,RFQ,Offer to Purchase,D MARTINO CONSTRUCTION LTD,28715649.466612376,2023-12-09,"Social Development, Finance & Administration",FALSE
Doc4607679427,RFP,Goods & Services,ROMA FENCE LTD,38175964.746274985,2022-09-12,"Corporate Real Estate Management,Municipal Licensing & Standards,Parks, Forestry & Recreation,Toronto Water,Transportation Services",TRUE
Doc3865027173,RFQ,Construction Services,RUSH TRUCK CENTER OF CANADA,2220565.287861973,2022-10-18,Information & Technology,TRUE
